구별,동별,사업장명,인허가일자,소재지도로명주소,소재지지번주소,전화번호
수정구,태평동,성남참조은약국,2020-05-12,"경기도 성남시 수정구 수정로 175, 동일빌딩 1층 (태평동)",경기도 성남시 수정구 태평동 7288-6번지 동일빌딩,031-307-0349
중원구,금광동,전승완약국,2020-06-16,"경기도 성남시 중원구 광명로 372, 1층 (금광동)",경기도 성남시 중원구 금광동 1798번지,
수정구,신흥동,메드백세약국,2020-05-21,"경기도 성남시 수정구 수정로 208, 메드위즈 1층 105호 (신흥동)",경기도 성남시 수정구 신흥동 3436-13번지 메드위즈,
분당구,구미동,알파약국,2020-04-07,"경기도 성남시 분당구 돌마로 68, 분당프라자 308호 (구미동)",경기도 성남시 분당구 구미동 23-1번지 분당프라자,
분당구,삼평동,웰츠약국,2020-04-10,"경기도 성남시 분당구 분당내곡로 159, A동 115호 (삼평동)",경기도 성남시 분당구 삼평동 658번지,070-4256-8810
수정구,창곡동,위례퍼스트약국,2018-09-05,"경기도 성남시 수정구 위례광장로 322, 아이플렉스 118호 (창곡동)",경기도 성남시 수정구 창곡동 508번지 아이플렉스 118호,
수정구,태평동,가까운 태평양약국,2020-01-15,경기도 성남시 수정구 수정로171번길 8 (태평동),경기도 성남시 수정구 태평동 7288-3번지,
분당구,야탑동,정약국,2020-01-07,"경기도 성남시 분당구 야탑로 243, 부건프라자 102호 (야탑동)",경기도 성남시 분당구 야탑동 174-6번지 부건프라자,031-703-7818
분당구,판교동,그린약국,2020-02-05,"경기도 성남시 분당구 운중로 249, 105호 (판교동)",경기도 성남시 분당구 판교동 593번지,
분당구,서현동,서현약국,2020-02-06,"경기도 성남시 분당구 중앙공원로39번길 49, 서현 지엔느 106호 (서현동)",경기도 성남시 분당구 서현동 88번지 서현 지엔느,031-709-3665
중원구,은행동,조약국,2020-01-08,경기도 성남시 중원구 은이로 24 (은행동),경기도 성남시 중원구 은행동 1433-2번지,031-745-3311
수정구,태평동,청년약국,2020-01-10,"경기도 성남시 수정구 성남대로 1330, 1층 4호 (태평동)",경기도 성남시 수정구 태평동 5113-7번지,
수정구,태평동,성남온누리약국,2020-02-19,"경기도 성남시 수정구 수정로 115, 만홍빌딩 102호 (태평동)",경기도 성남시 수정구 태평동 3679-1번지 만홍빌딩,031-721-1547
수정구,태평동,성남다사랑약국,2020-01-03,"경기도 성남시 수정구 수정로171번길 7-1, 우일프라자 1층 (태평동)",경기도 성남시 수정구 태평동 3406번지 우일프라자,031-752-7900
분당구,구미동,무지개약국,2019-11-05,"경기도 성남시 분당구 탄천상로151번길 20, 월드쇼핑,삼성SDA 지1층 C-1호 (구미동)","경기도 성남시 분당구 구미동 159번지 월드쇼핑,삼성SDA C-1호",
수정구,신흥동,신흥365약국,2019-10-17,"경기도 성남시 수정구 산성대로 267, 110호 (신흥동)",경기도 성남시 수정구 신흥동 4124번지 110호,
수정구,창곡동,위례진약국,2019-10-23,"경기도 성남시 수정구 위례광장로 322, 아이플렉스 1층 119호 (창곡동)",경기도 성남시 수정구 창곡동 508번지 아이플렉스 119호,031-754-5082
분당구,수내동,수내365약국,2019-11-28,"경기도 성남시 분당구 내정로173번길 49, 궁전프라자-3 1층 111호 (수내동)",경기도 성남시 분당구 수내동 33-2번지 궁전프라자-3 111호,
수정구,태평동,기쁨약국,2019-11-12,"경기도 성남시 수정구 수정로 69, 대명빌딩 1층 (태평동)",경기도 성남시 수정구 태평동 6511번지 대명빌딩,
분당구,정자동,진영약국,2019-10-22,"경기도 성남시 분당구 내정로17번길 4-11, 금산프라자 1층 118호 (정자동)",경기도 성남시 분당구 정자동 128번지 금산프라자 118호,031-711-5259
중원구,중앙동,퍼스트케어약국,2019-10-22,"경기도 성남시 중원구 산성대로 338-2, 1층 (중앙동)",경기도 성남시 중원구 중앙동 231번지,
수정구,태평동,가고싶은 후문약국,2019-12-31,"경기도 성남시 수정구 시민로205번길 32, 1층 (태평동)",경기도 성남시 수정구 태평동 3307-152번지,
분당구,정자동,분당약국,2019-12-02,"경기도 성남시 분당구 불곡로 4, 리더스프라자 107호 (정자동)",경기도 성남시 분당구 정자동 219-3번지 리더스프라자 107호,070-8839-0636
분당구,이매동,워너비3층행복약국,2019-12-14,"경기도 성남시 분당구 양현로94번길 19, 새남서울조합상가 3층 301호 (이매동)",경기도 성남시 분당구 이매동 120-6번지 새남서울조합상가 301호,
수정구,창곡동,위례퍼스트약국,2019-08-30,"경기도 성남시 수정구 위례광장로 322, 아이플렉스 1층 118호 (창곡동)",경기도 성남시 수정구 창곡동 508번지 아이플렉스 118호,
중원구,상대원동,중원온누리약국,2019-07-02,"경기도 성남시 중원구 희망로 336, 금진빌딩 1층 101,102호 (상대원동)",경기도 성남시 중원구 상대원동 2986-11번지 금진빌딩,031-731-7944
분당구,백현동,판교365약국,2019-07-18,"경기도 성남시 분당구 분당내곡로 117, 크래프톤타워 1층 (백현동)",경기도 성남시 분당구 백현동 535번지 크래프톤타워,
수정구,창곡동,위례조은약국,2019-07-18,"경기도 성남시 수정구 위례광장로 19, 아이페리온 115호 (창곡동)",경기도 성남시 수정구 창곡동 562번지 아이페리온 115호,
중원구,성남동,새모란21세기약국,2019-09-24,"경기도 성남시 중원구 성남대로1148번길 2, 소평빌딩 1층 101,102,103호 (성남동)",경기도 성남시 중원구 성남동 3492번지 소평빌딩,031-758-1940
분당구,수내동,수내푸른약국,2019-07-03,"경기도 성남시 분당구 돌마로366번길 40, 푸른마을 아파트 A동 109호 (수내동)",경기도 성남시 분당구 수내동 74번지 푸른마을 아파트 A동 109호,031-711-9988
중원구,성남동,기승전 휴베이스약국,2019-08-29,"경기도 성남시 중원구 광명로 17, 대동빌딩 1층 (성남동)",경기도 성남시 중원구 성남동 3187번지 대동빌딩,
분당구,금곡동,건강백세약국,2019-03-17,"경기도 성남시 분당구 돌마로 43, 메디파크빌딩 1층 102호 (금곡동)",경기도 성남시 분당구 금곡동 168번지 메디파크빌딩 102호,031-711-3204
중원구,성남동,모란팜약국,2019-03-05,"경기도 성남시 중원구 광명로 5, 성남동메디칼센타 1층 104호 (성남동)",경기도 성남시 중원구 성남동 3208번지 성남동메디칼센타 104호,031-721-2018
분당구,야탑동,탑마을오렌지약국,2019-01-10,"경기도 성남시 분당구 야탑로69번길 21, 영진다이비스상가 109,110,111호 (야탑동)",경기도 성남시 분당구 야탑동 353-1번지 영진다이비스상가,031-705-7634
분당구,서현동,제일온누리약국,2019-02-27,"경기도 성남시 분당구 중앙공원로39번길 7, 삼성.한신근린상가 129-1호 (서현동)",경기도 성남시 분당구 서현동 89-7번지 삼성.한신근린상가 129-1호,
